subset_size,drug,logreg_coef,odds_ratio
3,AMP,-0.41584769008939704,0.6597807539795348
3,CPR,0.01851257397428479,1.018684994007965
3,DOX,0.09570132152227222,1.100430340046228
3,ERY,-0.11155773082110292,0.8944397531713458
3,FOX,-0.08541168938916602,0.9181342204679454
3,FUS,-0.8678441081101316,0.4198557378110927
3,STR,-1.6838037728625694,0.1856663983526069
3,TMP,0.7293409905244098,2.073713560389084
4,AMP,-0.2703301996692955,0.7631274682920244
4,CPR,0.4300303882079796,1.5373042387594174
4,DOX,0.21416378990045132,1.2388255452900312
4,ERY,0.5169296403088115,1.6768711400244263
4,FOX,0.38475926048707565,1.4692605697879229
4,FUS,-0.8288155050644362,0.4365660905083864
4,STR,-1.3331173847674511,0.26365406768638183
4,TMP,0.7989629474698338,2.2232341219880905
5,AMP,0.03288524182911434,1.0334319376772836
5,CPR,0.3509353853535784,1.4203955445911258
5,DOX,0.14753190837741315,1.158970265100387
5,ERY,0.26121794408366705,1.2985106373075268
5,FOX,0.20449876682208612,1.2269099428465822
5,FUS,-0.4646326862086615,0.6283658702556019
5,STR,-0.2918089595291912,0.7469112126141271
5,TMP,0.5717361626456128,1.7713397171878367
