drug,moa,n_refuge_peaks_containing_drug,basin_nodes_ending_at_drug_peak,basin_dominance_fraction,mean_refuge_basin_size,mean_logreg_coef,mean_odds_ratio,basin_dominance_rank,logreg_coef_rank
DOX,50s,498,19679,0.9341149665353397,39.51606425702811,0.15246567326671223,1.166075383478882,1,5
TMP,F_Acid,457,17026,0.8081834148193857,37.25601750547046,0.7000133668799521,2.0227624665216704,2,1
ERY,50s,550,11859,0.5629183082546162,21.561818181818182,0.22219661785712522,1.2899405101677663,3,3
CPR,DNA_gyr,474,10306,0.4892011202354393,21.742616033755276,0.2664927825119476,1.3254615924528361,4,2
FUS,30s,352,8181,0.3883324630939384,23.241477272727273,-0.7204307664610764,0.4949292328583603,5,7
FOX,C_Wall,362,5184,0.24607205582190156,14.320441988950277,0.16794877930666527,1.2047682443674834,6,4
AMP,C_Wall,373,5172,0.24550244458157308,13.865951742627345,-0.21776421597652607,0.8187800533162809,7,6
STR,30s,205,1421,0.06745146437556368,6.931707317073171,-1.1029100390530706,0.3987438928843719,8,8
